mag_id	fermented_food
GCA_001580535.1	beer
GCA_011516945.1	cider
GCA_011516925.1	chocolate
GCA_011516865.1	chocolate
GCA_011516885.1	beer
GCA_000429165.1	kombucha
GCA_000964205.1	beer
GCA_000285275.1	beer
GCA_000310065.1	cheese
GCA_000425285.1	buttermilk
GCA_000423445.1	cheese
GCA_003325455.1	beer
GCA_003850045.1	pu'er tea
GCA_000583695.1	shochu
GCA_900163565.1	cheese
GCA_004134805.1	jeotgal
GCA_900109085.1	cheese
GCA_018967645.1	shrimp paste
GCA_001281265.1	wine
GCA_002844575.1	pu'er tea
GCA_001050115.1	cheese
GCA_000421665.1	cheese
GCA_000022965.1	yogurt
GCA_002259795.1	water kefir
GCA_000741285.1	airag
GCA_006539005.1	cheese
GCA_900169275.1	cheese
GCA_007828155.1	jeotgal
GCA_008868375.1	cheese
GCA_000708655.1	jeotgal
GCA_002943655.1	lactic acid beverage
GCA_002995785.1	baijiu
GCA_023656515.1	baijiu
GCA_002995795.1	wine
GCA_019144145.1	cheese
GCA_000591415.1	jeotgal
GCA_001434855.1	wine
GCA_000184535.1	salami
GCA_003946325.1	nukadoko
GCA_003946015.1	salami
GCA_001438805.1	kimchi
GCA_001311095.1	kimchi
GCA_001434275.1	sourdough
GCA_001435815.1	sourdough
GCA_000615905.1	nukadoko
GCA_000615725.1	sourdough
GCA_001434665.1	salami
GCA_000260455.1	salami
GCA_000550785.1	cheese
GCA_001941465.1	cheese
GCA_001729785.1	sourdough
GCA_900447695.1	cheese
GCA_000185365.1	cheese
GCA_015904215.1	cheese
GCA_000393875.1	cheese
GCA_001886265.1	mum
GCA_005405365.1	pickle
GCA_014644275.1	daqu
GCA_001437175.1	wine
GCA_001436035.1	sourdough
GCA_900112405.1	tempoyak
GCA_000277855.1	sourdough
GCA_001437435.1	sourdough
GCA_014195445.1	seau-jeot
GCA_015244675.1	beer
GCA_000197735.1	cheese
GCA_009659515.1	pla-ra
GCA_009902005.1	jeotgal
GCA_000829445.1	jeotgal
GCA_003387165.1	jeotgal
GCA_000425845.1	jeotgal
GCA_003311635.1	fermented coconut milk
GCA_000964405.1	vinegar
GCA_000164395.1	vinegar
GCA_000964425.1	kombucha
GCA_000613305.1	vinegar
GCA_003207815.1	vinegar
GCA_002155145.1	daemi-jeot
GCA_003633775.1	salami
GCA_001311195.1	tea
GCA_000615205.1	cheese
GCA_001311155.1	cassava
GCA_023656965.1	yakult
GCA_003946305.1	nem chua
GCA_003946025.1	sourdough
GCA_001312865.1	tea
GCA_001435215.1	fufu
GCA_001039045.1	pickle
GCA_005405385.1	pickle
GCA_001888655.1	sauerkraut
GCA_001438845.1	pickle
GCA_001311725.1	vinegar
GCA_001971585.1	kimchi
GCA_000178475.1	beer
GCA_003124125.1	fermented bamboo shoots
GCA_001434585.1	sourdough
GCA_001953135.1	yogurt
GCA_000056065.1	yogurt
GCA_000615095.1	beer
GCA_001189855.1	cheese
GCA_000192165.1	cheese
GCA_001190005.1	sunki
GCA_001435505.1	pickle
GCA_000160855.1	cheese
GCA_000615685.1	kefir
GCA_001311335.1	kefir
GCA_001313205.1	kimchi
GCA_000014525.1	cheese
GCA_000534815.1	cheese
GCA_018403745.1	yan-tsai-shin
GCA_000820425.1	yogurt
GCA_001435715.1	salami
GCA_000615365.1	sake
GCA_002271215.1	jeotgal
GCA_001311805.1	nam-pla
GCA_014646635.1	ka-pi
GCA_000583655.1	shochu
GCA_000159315.1	wine
GCA_001311745.1	kefir
GCA_001311425.1	sunki
GCA_000415925.1	sunki
GCA_001437335.1	whiskey
GCA_001311355.1	shochu
GCA_001311445.1	sunki
GCA_001435575.1	sunki
GCA_000350525.1	jeotgal
GCA_012396485.1	coffee
GCA_000160595.1	cheese
GCA_001886915.1	kimchi
GCA_000014445.1	olives
GCA_019656055.1	kimchi
GCA_019656075.1	wine
GCA_014634805.1	cheese
GCA_001434835.1	sourdough
GCA_002933755.1	olives
GCA_001434395.1	sourdough
GCA_001435525.1	kimchi
GCA_001434785.1	sourdough
GCA_001436675.1	pickle
GCA_001435095.1	sourdough
GCA_003946265.1	kimchi
GCA_001434115.1	sourdough
GCA_000260635.1	cheese
GCA_001435755.1	pla-ra
GCA_000349725.1	pobuzihi
GCA_000159215.1	pickle
GCA_001436045.1	sourdough
GCA_001027985.1	sourdough
GCA_001435345.1	sourdough
GCA_001437055.1	sourdough
GCA_001436735.1	chocolate
GCA_001434915.1	stinky tofu
GCA_001435235.1	chocolate
GCA_001434845.1	beer
GCA_001434225.1	wine
GCA_001436275.1	wine
GCA_001312045.1	shochu
GCA_001434935.1	wine
GCA_003970575.1	cheese
GCA_007671655.1	salted anchovy
GCA_000686905.1	kusaya gravy
GCA_002874535.1	jeotgal
GCA_022179345.1	jeotgal
GCA_000422745.1	cheese
GCA_008017445.1	salted turban shell
GCA_003667525.1	cheese
GCA_014138825.1	jeotgal
GCA_000340475.1	kimchi
GCA_000309445.1	wine
GCA_003008535.1	sikhye
GCA_003614185.1	vinegar
GCA_001436805.1	chili bo
GCA_004341685.1	beer
GCA_001437605.1	sourdough
GCA_015613245.1	sake
GCA_015613265.1	cheese
GCA_016908275.1	cassava
GCA_023657365.1	chocolate
GCA_900113675.1	fish sauce
GCA_014202615.1	jeotgal
GCA_000940845.1	cheese
GCA_003144495.1	jeotgal
GCA_016107535.1	jeotgal
GCA_900107595.1	cheese
GCA_003097615.1	pu'er tea
GCA_014642655.1	pu'er tea
GCA_014639255.1	pu'er tea
GCA_001591825.1	fish sauce
GCA_004136575.1	jeotgal
GCA_000330705.1	gejang
GCA_001996005.1	pla-ra
GCA_000425885.1	suan cai
GCA_000469325.1	fermented beverage
GCA_016908855.1	daqu
GCA_001312845.1	cider
GCA_000260775.1	beer
GCA_001313185.1	stinky tofu
GCA_000740055.1	fermented rice grain
GCA_001311075.1	molasses
GCA_002902605.1	pla-chom
GCA_001014685.1	soy sauce
GCA_002901955.1	cheese
GCA_003970555.1	kung-chom
GCA_900453015.1	ropy milk
GCA_900459545.1	cheese
GCA_024137205.1	soy sauce
GCA_000423785.1	ishiru
GCA_000763315.1	daqu
GCA_001870205.1	yogurt
GCA_000709085.1	jeotgal
GCA_005405525.1	chili bo
GCA_016466705.1	pickle
GCA_000420365.1	salami
GCA_005405545.1	salami
GCA_000277645.1	kimchi
GCA_003363255.1	pla-ra
GCA_001437355.1	salami
GCA_000277755.1	wine
GCA_000245735.2	jeotgal
GCA_009377195.2	cheese
GCA_000225825.2	saeu-jeot
GCA_000179395.2	cheese
GCA_000226215.2	jeotgal
GCA_000498955.2	chocolate
GCA_000785105.2	stinky tofu
GCA_000224785.2	jeotgal
GCA_000166735.2	kimchi
GCA_000255495.2	wine
GCA_000709935.2	jeotgal
GCA_004102045.2	cider
GCA_000299295.2	jeotgal
GCA_002218025.2	cheese
